Boss,Game,Relation
World,Super Mario Bros.,BOSS_IN
World,Mario Party: Star Rush,BOSS_IN
World,Mario vs. Donkey Kong,BOSS_IN
World,Super Mario Bros.: The Lost Levels,BOSS_IN
World,Mario Party: The Top 100,BOSS_IN
World,Mario vs. Donkey Kong 2: March of the Minis,BOSS_IN
World,Super Mario Bros. 2,BOSS_IN
World,Super Mario Party,BOSS_IN
World,Mario vs. Donkey Kong: Minis March Again!,BOSS_IN
World,Super Mario Bros. 3,BOSS_IN
World,Mario vs. Donkey Kong: Mini-Land Mayhem!,BOSS_IN
World,Super Mario Land,BOSS_IN
World,Mario and Donkey Kong: Minis on the Move,BOSS_IN
World,Super Mario World,BOSS_IN
World,Mario vs. Donkey Kong: Tipping Stars,BOSS_IN
World,Super Mario Land 2: 6 Golden Coins,BOSS_IN
World,Mini Mario & Friends: amiibo Challenge,BOSS_IN
World,New Super Mario Bros.,BOSS_IN
World,Super Mario Galaxy,BOSS_IN
World,New Super Mario Bros. Wii,BOSS_IN
World,Super Mario Galaxy 2,BOSS_IN
World,Super Mario 3D Land,BOSS_IN
World,New Super Mario Bros. 2,BOSS_IN
World,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN
World,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN
World,Super Mario Run,BOSS_IN
World,Super Mario Bros. Wonder,BOSS_IN
Boom Boom,Super Mario Bros. 3 / Super Mario All-Stars / Super Mario Advance 4: Super Mario Bros. 3,BOSS_IN
Boom Boom,Super Mario Party,BOSS_IN
Boom Boom,Super Mario 3D Land,BOSS_IN
Boom Boom,Super Mario Party Jamboree,BOSS_IN
Boom Boom,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN
Boom Boom,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN
Boom Boom,Super Mario Run,BOSS_IN
Boom Boom,Super Mario Maker 2,BOSS_IN
Lemmy,Super Mario Bros. 3 / Super Mario Advance 4: Super Mario Bros. 3,BOSS_IN
Lemmy,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN
Lemmy,Mario & Luigi: Superstar Saga,BOSS_IN
Lemmy,Super Smash Bros. for Nintendo 3DS / Wii U,BOSS_IN
Lemmy,Super Mario World / Super Mario World: Super Mario Advance 2,BOSS_IN
Lemmy,Mario Kart Tour,BOSS_IN
Lemmy,Mario & Luigi: Paper Jam,BOSS_IN
Lemmy,Super Smash Bros. Ultimate,BOSS_IN
Lemmy,New Super Mario Bros. Wii,BOSS_IN
Lemmy,Mario Kart Live: Home Circuit,BOSS_IN
Lemmy,Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN
Lemmy,New Super Mario Bros. 2,BOSS_IN
Lemmy,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN
Lemmy,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN
Lemmy,Super Mario Maker 2,BOSS_IN
