Character,Game,Relation,Role
18-Volt,WarioWare: Twisted!,CHARACTER_IN,Microgame host
18-Volt,WarioWare: Twisted!,CHARACTER_IN,Microgame host
18-Volt,WarioWare: Smooth Moves,CHARACTER_IN,Microgame host
18-Volt,Super Smash Bros. Brawl,CHARACTER_IN,Cameo as a Sticker
18-Volt,WarioWare: D.I.Y. Showcase,CHARACTER_IN,Microgame host
18-Volt,Game & Wario,CHARACTER_IN,Minigame host
18-Volt,Super Smash Bros. for Wii U,CHARACTER_IN,Stage cameo
18-Volt,Rhythm Heaven Megamix,CHARACTER_IN,Playable character
18-Volt,WarioWare Gold,CHARACTER_IN,Microgame host
18-Volt,Super Smash Bros. Ultimate,CHARACTER_IN,Stage cameo
18-Volt,WarioWare: Get It Together!,CHARACTER_IN,Playable character
18-Volt,Tetris 99,CHARACTER_IN,Appears in the WarioWare: Get It Together! and WarioWare: Move It! themes
18-Volt,WarioWare: Move It!,CHARACTER_IN,Playable character
5-Volt,"WarioWare, Inc.: Mega Microgame$!",CHARACTER_IN,Mentioned
5-Volt,WarioWare: Twisted!,CHARACTER_IN,Non-playable character
5-Volt,WarioWare: Touched!,CHARACTER_IN,Cameo in Game Over screen
5-Volt,Game & Wario,CHARACTER_IN,Non-playable character
5-Volt,Super Smash Bros. for Wii U,CHARACTER_IN,Non-playable character
5-Volt,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Non-playable character
5-Volt,WarioWare Gold,CHARACTER_IN,Microgame host
5-Volt,Super Smash Bros. Ultimate,CHARACTER_IN,Non-playable character
5-Volt,WarioWare: Get It Together!,CHARACTER_IN,Playable character
5-Volt,Tetris 99,CHARACTER_IN,Appearance in the WarioWare: Get It Together! and WarioWare: Move It! backgrounds
5-Volt,WarioWare: Move It!,CHARACTER_IN,"Supporting character, playable character"
9-Volt,"WarioWare, Inc.: Mega Microgame$!",CHARACTER_IN,Microgame host
9-Volt,Wario World,CHARACTER_IN,Icon cameo at Treasure Square
9-Volt,"WarioWare, Inc.: Mega Party Game$!",CHARACTER_IN,"Microgame host, playable character"
9-Volt,WarioWare: Twisted!,CHARACTER_IN,Microgame host
9-Volt,WarioWare: Touched!,CHARACTER_IN,Microgame host
9-Volt,WarioWare: Smooth Moves,CHARACTER_IN,Microgame host
9-Volt,Super Smash Bros. Brawl,CHARACTER_IN,Sticker
9-Volt,Paper Airplane Chase,CHARACTER_IN,Cameo as a background sign when reaching 120 points in Endless Mode
9-Volt,WarioWare: D.I.Y.,CHARACTER_IN,Microgame host
9-Volt,WarioWare: D.I.Y. Showcase,CHARACTER_IN,Cameo in 18-Volt 's stage
9-Volt,Game & Wario,CHARACTER_IN,Playable character
9-Volt,Super Smash Bros. for Wii U,CHARACTER_IN,Trophy
9-Volt,Rhythm Heaven Megamix,CHARACTER_IN,Wario... Where? host
9-Volt,WarioWare Gold,CHARACTER_IN,Microgame host
9-Volt,Super Smash Bros. Ultimate,CHARACTER_IN,Spirit
9-Volt,WarioWare: Get It Together!,CHARACTER_IN,"Microgame host, playable character"
9-Volt,Tetris 99,CHARACTER_IN,Cameo as an O-Tetromino
9-Volt,WarioWare: Move It!,CHARACTER_IN,"Microgame host, playable character"
Ancient Minister,Super Mario RPG: Legend of the Seven Stars,CHARACTER_IN,1996
Ancient Minister,"WarioWare, Inc.: Mega Microgame$!",CHARACTER_IN,Non-playable character
Ancient Minister,WarioWare: Twisted!,CHARACTER_IN,Cameo
Ancient Minister,WarioWare: Touched!,CHARACTER_IN,Cameo
Ancient Minister,Mario Kart DS,CHARACTER_IN,Unlockable playable character
Ancient Minister,WarioWare: Smooth Moves,CHARACTER_IN,Boss
Ancient Minister,Super Smash Bros. Brawl,CHARACTER_IN,Unlockable playable character
Ancient Minister,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Unlockable playable character
Ancient Minister,Super Smash Bros. for Wii U,CHARACTER_IN,Unlockable playable character
Ancient Minister,Super Mario Maker,CHARACTER_IN,Costume
Ancient Minister,WarioWare Gold,CHARACTER_IN,Playable character
Ancient Minister,Super Smash Bros. Ultimate,CHARACTER_IN,Unlockable playable character
Ancient Minister,Super Mario RPG,CHARACTER_IN,Cameo
Ashley,WarioWare: Touched!,CHARACTER_IN,Microgame host
Ashley,WarioWare: Smooth Moves,CHARACTER_IN,Microgame host
Ashley,Super Smash Bros. Brawl,CHARACTER_IN,Cameo
Ashley,Paper Airplane Chase,CHARACTER_IN,Cameo as a background sign when reaching 150 points in Endless Mode
Ashley,WarioWare: D.I.Y.,CHARACTER_IN,Microgame host
Ashley,Game & Wario,CHARACTER_IN,Playable character
Ashley,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,"Assist Trophy, trophy"
Ashley,Super Smash Bros. for Wii U,CHARACTER_IN,"Cameo, Assist Trophy"
Ashley,Rhythm Heaven Megamix,CHARACTER_IN,Playable character
Ashley,Daigassou! Band Brothers P,CHARACTER_IN,Cameo
Ashley,Super Mario Maker,CHARACTER_IN,Playable character
