Enemie,Game,Relation
Albatoss,Yume Kōjō: Doki Doki Panic / Super Mario Bros. 2,ENEMY_IN
Albatoss,Super Mario All-Stars / Super Mario Advance 4: Super Mario Bros. 3,ENEMY_IN
Amazing Flyin' Hammer Brother,Super Mario World / Super Mario World: Super Mario Advance 2,ENEMY_IN
Amazing Flyin' Hammer Brother,Super Mario Advance 4: Super Mario Bros. 3,ENEMY_IN
Amp,Super Mario 64 / Super Mario 64 DS,ENEMY_IN
Amp,Mario Party 3 / Mario Party Superstars,ENEMY_IN
Amp,New Super Mario Bros.,ENEMY_IN
Amp,Mario Party 4,ENEMY_IN
Amp,Super Mario Galaxy,ENEMY_IN
Amp,Mario Party 5,ENEMY_IN
Amp,New Super Mario Bros. Wii,ENEMY_IN
Amp,Mario Party 6,ENEMY_IN
Amp,Super Mario Galaxy 2,ENEMY_IN
Amp,Mario Party Advance,ENEMY_IN
Amp,New Super Mario Bros. 2,ENEMY_IN
Amp,Mario Party 7,ENEMY_IN
Amp,New Super Mario Bros. U,ENEMY_IN
Amp,Mario Party 8,ENEMY_IN
Amp,Mario Party: Island Tour,ENEMY_IN
Amp,Mario Party 10,ENEMY_IN
Amp,Mario Party: Star Rush,ENEMY_IN
Amp,Super Mario Party,ENEMY_IN
Amp,Super Mario Party Jamboree,ENEMY_IN
Angry Sun,Super Mario Bros. 3,ENEMY_IN
Angry Sun,Super Mario Maker 2,ENEMY_IN
Ant Trooper,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,ENEMY_IN
Ant Trooper,Super Mario Maker 2,ENEMY_IN
Bandit,Mario Party 7,ENEMY_IN
Bandit,Mario & Luigi: Dream Team,ENEMY_IN
Bandit,Mario Party 8,ENEMY_IN
Bandit,Mario & Luigi: Paper Jam,ENEMY_IN
Bandit,Mario & Luigi: Superstar Saga + Bowser's Minions,ENEMY_IN
Bandit,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,ENEMY_IN
Banzai Bill Cannon,Mario Kart 7,ENEMY_IN
Banzai Bill Cannon,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,ENEMY_IN
Banzai Bill Cannon,Mario & Luigi: Dream Team,ENEMY_IN
Bee,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,ENEMY_IN
Bee,Mario & Luigi: Dream Team,ENEMY_IN
Bee,Mario & Luigi: Brothership,ENEMY_IN
Biddybud,Super Mario 3D Land,ENEMY_IN
Biddybud,Mario Kart 8,ENEMY_IN
Biddybud,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,ENEMY_IN
Biddybud,Mario Kart World,ENEMY_IN
Big Blooper,Mario Party 6,ENEMY_IN
Big Blooper,Mario Party 7,ENEMY_IN
Big Blooper,Mario Party 9,ENEMY_IN
Big Blooper,Mario Party 10,ENEMY_IN
Big Blooper,Mario Party: Star Rush,ENEMY_IN
Big Blooper,Super Mario Party,ENEMY_IN
Big Buzzy Beetle,New Super Mario Bros. U,ENEMY_IN
Big Buzzy Beetle,Super Mario Maker / Super Mario Maker for Nintendo 3DS / Super Mario Maker 2,ENEMY_IN
Big Chain Chomp,New Super Mario Bros. Wii,ENEMY_IN
Big Chain Chomp,New Super Mario Bros. 2,ENEMY_IN
Big Chain Chomp,Super Mario Maker / Super Mario Maker for Nintendo 3DS,ENEMY_IN
Big Chain Chomp,Super Mario Odyssey,ENEMY_IN
Big Chain Chomp,Super Mario Maker 2,ENEMY_IN
Big Boo,Super Mario World,ENEMY_IN
Big Boo,Mario & Luigi: Superstar Saga + Bowser's Minions,ENEMY_IN
Big Boo,Super Mario 64 / Super Mario 64 DS,ENEMY_IN
Big Boo,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,ENEMY_IN
Big Boo,Super Mario Sunshine,ENEMY_IN
Big Boo,Super Mario Advance 4: Super Mario Bros. 3,ENEMY_IN
Big Boo,Super Mario Galaxy,ENEMY_IN
Big Boo,New Super Mario Bros. Wii,ENEMY_IN
Big Boo,Super Mario Galaxy 2,ENEMY_IN
Big Boo,Super Mario 3D Land,ENEMY_IN
Big Boo,New Super Mario Bros. 2,ENEMY_IN
Big Boo,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,ENEMY_IN
Big Boo,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,ENEMY_IN
Big Boo,Super Mario Maker subseries,ENEMY_IN
Big Cheep Cheep,Super Mario Bros. 3,ENEMY_IN
Big Cheep Cheep,Super Mario Kart,ENEMY_IN
Big Cheep Cheep,Mario Party 5,ENEMY_IN
Big Cheep Cheep,New Super Mario Bros.,ENEMY_IN
Big Cheep Cheep,Mario Kart 64,ENEMY_IN
Big Cheep Cheep,Mario Party 7,ENEMY_IN
Big Cheep Cheep,New Super Mario Bros. Wii,ENEMY_IN
Big Cheep Cheep,Mario Kart: Super Circuit,ENEMY_IN
Big Cheep Cheep,Mario Party 8,ENEMY_IN
Big Cheep Cheep,New Super Mario Bros. 2,ENEMY_IN
Big Cheep Cheep,Mario Kart: Double Dash!!,ENEMY_IN
Big Cheep Cheep,Mario Party DS,ENEMY_IN
Big Cheep Cheep,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,ENEMY_IN
Big Cheep Cheep,Mario Kart Wii,ENEMY_IN
Big Cheep Cheep,Mario Party 10,ENEMY_IN
Big Cheep Cheep,Super Mario Maker series,ENEMY_IN
Big Cheep Cheep,Mario Kart Tour,ENEMY_IN
Big Cheep Cheep,Super Mario Party,ENEMY_IN
Big Cheep Cheep,Mario Party Superstars,ENEMY_IN
Big Fire Piranha,Super Mario 64 / Super Mario 64 DS,ENEMY_IN
Big Fire Piranha,New Super Mario Bros. Wii,ENEMY_IN
Big Fire Piranha,New Super Mario Bros. 2,ENEMY_IN
Big Fire Piranha,New Super Luigi U / New Super Mario Bros. U Deluxe,ENEMY_IN
Big Fire Piranha,Super Mario Maker / Super Mario Maker for Nintendo 3DS,ENEMY_IN
Big Fire Piranha,Super Mario Maker 2,ENEMY_IN
Big Fire Piranha,Super Mario Bros. Wonder,ENEMY_IN
Big Koopa Paratroopa,Super Mario Bros. 3,ENEMY_IN
Big Koopa Paratroopa,Super Mario Maker / Super Mario Maker for Nintendo 3DS / Super Mario Maker 2,ENEMY_IN
Big Koopa Troopa,Super Mario Bros. 3,ENEMY_IN
Big Koopa Troopa,Super Mario 64 / Super Mario 64 DS,ENEMY_IN
Big Koopa Troopa,Super Mario Galaxy 2,ENEMY_IN
Big Koopa Troopa,New Super Mario Bros. U / New Super Luigi U,ENEMY_IN
Big Koopa Troopa,Super Mario Maker / Super Mario Maker for Nintendo 3DS,ENEMY_IN
Big Koopa Troopa,Super Mario Maker 2,ENEMY_IN
Big Lava Bubble,Super Mario Maker / Super Mario Maker for Nintendo 3DS,ENEMY_IN
Big Lava Bubble,Super Mario Maker 2,ENEMY_IN
Big Monty Mole,Super Mario Maker / Super Mario Maker for Nintendo 3DS,ENEMY_IN
Big Monty Mole,Mario Party 10,ENEMY_IN
Big Monty Mole,Super Mario Maker 2,ENEMY_IN
Big Monty Mole,Mario Party: Star Rush,ENEMY_IN
Big Piranha Plant,Super Mario Bros. 3,ENEMY_IN
Big Piranha Plant,Mario Kart Arcade GP VR,ENEMY_IN
Big Piranha Plant,Mario Party: The Top 100,ENEMY_IN
Big Piranha Plant,New Super Mario Bros.,ENEMY_IN
Big Piranha Plant,Mario Kart Tour,ENEMY_IN
Big Piranha Plant,Mario Party Superstars,ENEMY_IN
Big Piranha Plant,New Super Mario Bros. Wii,ENEMY_IN
Big Piranha Plant,Mario Kart 8 Deluxe,ENEMY_IN
Big Piranha Plant,Super Mario Galaxy 2,ENEMY_IN
Big Piranha Plant,New Super Mario Bros. 2,ENEMY_IN
Big Piranha Plant,New Super Mario Bros. U,ENEMY_IN
Big Piranha Plant,New Super Luigi U,ENEMY_IN
Big Piranha Plant,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,ENEMY_IN
Big Piranha Plant,Super Mario Maker / Super Mario Maker for Nintendo 3DS,ENEMY_IN
Big Piranha Plant,Super Mario Odyssey,ENEMY_IN
Big Piranha Plant,Super Mario Maker 2,ENEMY_IN
Big Piranha Plant,Super Mario Bros. Wonder,ENEMY_IN
Big Pokey,Mario Kart: Double Dash!!,ENEMY_IN
Big Pokey,Mario Kart Wii,ENEMY_IN
Big Spiny,Super Mario Maker / Super Mario Maker for Nintendo 3DS / Super Mario Maker 2,ENEMY_IN
Big Spiny,Super Mario Run,ENEMY_IN
Big Thwomp,New Super Mario Bros.,ENEMY_IN
Big Thwomp,New Super Mario Bros. Wii,ENEMY_IN
Big Thwomp,Super Mario Galaxy 2,ENEMY_IN
Big Thwomp,New Super Mario Bros. 2,ENEMY_IN
Big Thwomp,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,ENEMY_IN
Big Thwomp,Super Mario Maker / Super Mario Maker for Nintendo 3DS,ENEMY_IN
Big Thwomp,Super Mario Maker 2,ENEMY_IN
Bill Blaster,Super Mario Bros. / Super Mario Bros.: The Lost Levels,ENEMY_IN
Bill Blaster,Mario Party 5,ENEMY_IN
Bill Blaster,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,ENEMY_IN
Bill Blaster,Super Mario Bros. 3,ENEMY_IN
Bill Blaster,Mario Party Advance,ENEMY_IN
Bill Blaster,Mario & Luigi: Partners in Time,ENEMY_IN
Bill Blaster,Super Mario Land,ENEMY_IN
Bill Blaster,Mario Party 10,ENEMY_IN
Bill Blaster,Super Mario World,ENEMY_IN
Bill Blaster,Super Mario Party,ENEMY_IN
Bill Blaster,Super Mario Land 2: 6 Golden Coins,ENEMY_IN
Bill Blaster,Mario Party Superstars,ENEMY_IN
Bill Blaster,Super Mario 64 / Super Mario 64 DS,ENEMY_IN
Bill Blaster,Super Mario Party Jamboree,ENEMY_IN
Bill Blaster,New Super Mario Bros.,ENEMY_IN
Bill Blaster,Super Mario Galaxy,ENEMY_IN
Bill Blaster,New Super Mario Bros. Wii,ENEMY_IN
Bill Blaster,Super Mario Galaxy 2,ENEMY_IN
Bill Blaster,Super Mario 3D Land,ENEMY_IN
Bill Blaster,New Super Mario Bros. 2,ENEMY_IN
Bill Blaster,New Super Mario Bros. U,ENEMY_IN
Bill Blaster,Super Mario Run,ENEMY_IN
Bill Blaster,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,ENEMY_IN
Bill Blaster,Super Mario Maker / Super Mario Maker for Nintendo 3DS / Super Mario Maker 2,ENEMY_IN
Bill Blaster,Super Mario Odyssey,ENEMY_IN
Bill Blaster,Super Mario Bros. Wonder,ENEMY_IN
Black Shy Guy,Mario Kart DS,ENEMY_IN
Black Shy Guy,Mario Kart 8 / Mario Kart 8 Deluxe,ENEMY_IN
Black Shy Guy,Mario Kart Tour,ENEMY_IN
Boo,Super Mario Bros. 3 / Super Mario Advance 4: Super Mario Bros. 3,ENEMY_IN
Boo,Super Mario Kart,ENEMY_IN
Boo,Mario Party,ENEMY_IN
Boo,Mario vs. Donkey Kong,ENEMY_IN
Boo,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,ENEMY_IN
Boo,Super Mario World / Super Mario World: Super Mario Advance 2,ENEMY_IN
Boo,Mario Kart 64,ENEMY_IN
Boo,Mario Party 2,ENEMY_IN
Boo,Mini Mario & Friends: amiibo Challenge,ENEMY_IN
Boo,Mario & Luigi: Partners in Time,ENEMY_IN
Boo,Super Mario Land 2: 6 Golden Coins,ENEMY_IN
Boo,Mario Kart: Super Circuit,ENEMY_IN
Boo,Mario Party 3,ENEMY_IN
Boo,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,ENEMY_IN
Boo,Super Mario 64 / Super Mario 64 DS,ENEMY_IN
Boo,Mario Kart: Double Dash!!,ENEMY_IN
Boo,Mario Party 4,ENEMY_IN
Boo,Mario & Luigi: Dream Team,ENEMY_IN
Boo,Super Mario Bros. Deluxe,ENEMY_IN
Boo,Mario Kart Arcade GP subseries,ENEMY_IN
Boo,Mario Party-e,ENEMY_IN
Boo,Mario & Luigi: Paper Jam,ENEMY_IN
Boo,Super Mario Sunshine,ENEMY_IN
Boo,Mario Kart DS,ENEMY_IN
Boo,Mario Party 5,ENEMY_IN
Boo,Mario & Luigi: Brothership,ENEMY_IN
Boo,New Super Mario Bros.,ENEMY_IN
Boo,Mario Kart Wii,ENEMY_IN
Boo,Super Mario Fushigi no Korokoro Party series,ENEMY_IN
Boo,Super Mario Galaxy,ENEMY_IN
Boo,Mario Kart 7,ENEMY_IN
Boo,Mario Party 6,ENEMY_IN
Boo,New Super Mario Bros. Wii,ENEMY_IN
Boo,Mario Kart 8 / Mario Kart 8 Deluxe,ENEMY_IN
Boo,Mario Party Advance,ENEMY_IN
Boo,Super Mario Galaxy 2,ENEMY_IN
Boo,Mario Kart Tour,ENEMY_IN
Boo,Mario Party 7,ENEMY_IN
Boo,Super Mario 3D Land,ENEMY_IN
Boo,Mario Kart Live: Home Circuit,ENEMY_IN
Boo,Mario Party 8,ENEMY_IN
Boo,New Super Mario Bros. 2,ENEMY_IN
Boo,Mario Kart World,ENEMY_IN
Boo,Mario Party DS,ENEMY_IN
Boo,New Super Mario Bros. U / New Super Mario Bros. U Deluxe,ENEMY_IN
Boo,Mario Party Fushigi no Korokoro Catcher,ENEMY_IN
Boo,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,ENEMY_IN
Boo,Mario Party 9,ENEMY_IN
Boo,Super Mario Maker subseries,ENEMY_IN
Boo,Mario Party Fushigi no Korokoro Catcher 2,ENEMY_IN
Boo,Super Mario Run,ENEMY_IN
Boo,Mario Party: Island Tour,ENEMY_IN
Boo,Super Mario Bros. Wonder,ENEMY_IN
Boo,Mario Party 10,ENEMY_IN
Boo,Mario Party: Star Rush,ENEMY_IN
Boo,Mario Party: The Top 100,ENEMY_IN
Boo,Super Mario Party,ENEMY_IN
Boo,Mario Party Superstars,ENEMY_IN
Boo,Super Mario Party Jamboree,ENEMY_IN
Block Boo,Super Mario World,ENEMY_IN
Block Boo,Super Mario Sunshine,ENEMY_IN
Blooper Nanny,Super Mario Bros. 3,ENEMY_IN
Blooper Nanny,New Super Mario Bros.,ENEMY_IN
Blooper Nanny,New Super Mario Bros. Wii,ENEMY_IN
Blooper Nanny,New Super Mario Bros. 2,ENEMY_IN
Blooper Nanny,New Super Mario Bros. U,ENEMY_IN
Blooper Nanny,Super Mario Maker subseries,ENEMY_IN
Blooper Baby,Super Mario Bros. 3 / Super Mario Advance 4: Super Mario Bros. 3,ENEMY_IN
Blooper Baby,New Super Mario Bros.,ENEMY_IN
Blooper Baby,New Super Mario Bros. Wii,ENEMY_IN
Blooper Baby,New Super Mario Bros. 2,ENEMY_IN
Blooper Baby,New Super Mario Bros. U / New Super Mario Bros. U Deluxe,ENEMY_IN
Blooper Baby,Super Mario Maker series,ENEMY_IN
Blooper,Super Mario Bros. / Super Mario Bros.: The Lost Levels,ENEMY_IN
Blooper,Mario Kart DS,ENEMY_IN
Blooper,Mario Party,ENEMY_IN
Blooper,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,ENEMY_IN
Blooper,Super Mario Bros. 3 / Super Mario Advance 4: Super Mario Bros. 3,ENEMY_IN
Blooper,Mario Kart Wii,ENEMY_IN
Blooper,Mario Party 2,ENEMY_IN
Blooper,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,ENEMY_IN
Blooper,Super Mario Sunshine,ENEMY_IN
Blooper,Mario Kart 7,ENEMY_IN
Blooper,Mario Party 3,ENEMY_IN
Blooper,Mario & Luigi: Dream Team,ENEMY_IN
Blooper,New Super Mario Bros.,ENEMY_IN
Blooper,Mario Kart 8 / Mario Kart 8 Deluxe,ENEMY_IN
Blooper,Mario Party 4,ENEMY_IN
Blooper,Mario & Luigi: Paper Jam,ENEMY_IN
Blooper,Super Mario Galaxy,ENEMY_IN
Blooper,Mario Kart Tour,ENEMY_IN
Blooper,Mario Party 6,ENEMY_IN
Blooper,Mario & Luigi: Brothership,ENEMY_IN
Blooper,New Super Mario Bros. Wii,ENEMY_IN
Blooper,Mario Kart World,ENEMY_IN
Blooper,Mario Party Advance,ENEMY_IN
Blooper,Super Mario Galaxy 2,ENEMY_IN
Blooper,Mario Party 8,ENEMY_IN
Blooper,Super Mario 3D Land,ENEMY_IN
Blooper,Mario Party DS,ENEMY_IN
Blooper,New Super Mario Bros. 2,ENEMY_IN
Blooper,Mario Party 9,ENEMY_IN
Blooper,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,ENEMY_IN
Blooper,Mario Party: Island Tour,ENEMY_IN
Blooper,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,ENEMY_IN
Blooper,Mario Party 10,ENEMY_IN
Blooper,Super Mario Maker subseries,ENEMY_IN
Blooper,Mario Party: Star Rush,ENEMY_IN
Blooper,Super Mario Run,ENEMY_IN
Blooper,Mario Party: The Top 100,ENEMY_IN
Blooper,Super Mario Odyssey,ENEMY_IN
Blooper,Super Mario Party,ENEMY_IN
Blooper,Mario Party Superstars,ENEMY_IN
Blooper,Super Mario Party Jamboree,ENEMY_IN
Blurp,Super Mario World / Super Mario World: Super Mario Advance 2,ENEMY_IN
Blurp,Super Mario Land 2: 6 Golden Coins,ENEMY_IN
Blurp,Super Mario Maker series,ENEMY_IN
Bob-omb Car,Mario Kart: Double Dash!,ENEMY_IN
Bob-omb Car,Mario Kart Wii,ENEMY_IN
Bob-omb Car,Mario Kart Tour,ENEMY_IN
Bob-omb Car,Mario Kart 8 Deluxe,ENEMY_IN
Bob-omb Car,Mario Kart World,ENEMY_IN
Bomb Boo,Super Mario Galaxy,ENEMY_IN
Bomb Boo,Mario & Luigi: Superstar Saga + Bowser's Minions,ENEMY_IN
Bomb Boo,Super Mario Galaxy 2,ENEMY_IN
Bomb Boo,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,ENEMY_IN
Bob-omb,Yume Kōjō: Doki Doki Panic / Super Mario Bros. 2,ENEMY_IN
Bob-omb,Mario Kart: Super Circuit,ENEMY_IN
Bob-omb,Mario Party,ENEMY_IN
Bob-omb,Mario vs. Donkey Kong,ENEMY_IN
Bob-omb,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,ENEMY_IN
Bob-omb,Super Mario Bros. 3,ENEMY_IN
Bob-omb,Mario Kart: Double Dash!!,ENEMY_IN
Bob-omb,Mario Party 2,ENEMY_IN
Bob-omb,Mario vs. Donkey Kong 2: March of the Minis,ENEMY_IN
Bob-omb,Mario & Luigi: Partners in Time,ENEMY_IN
Bob-omb,Super Mario World,ENEMY_IN
Bob-omb,Mario Kart DS,ENEMY_IN
Bob-omb,Mario Party 3,ENEMY_IN
Bob-omb,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,ENEMY_IN
Bob-omb,Super Mario 64 / Super Mario 64 DS,ENEMY_IN
Bob-omb,Mario Kart Wii,ENEMY_IN
Bob-omb,Mario Party 4,ENEMY_IN
Bob-omb,Mario & Luigi: Dream Team,ENEMY_IN
Bob-omb,Super Mario Sunshine,ENEMY_IN
Bob-omb,Mario Kart 7,ENEMY_IN
Bob-omb,Mario Party 5,ENEMY_IN
Bob-omb,Mario & Luigi: Paper Jam,ENEMY_IN
Bob-omb,New Super Mario Bros.,ENEMY_IN
Bob-omb,Mario Kart 8 / Mario Kart 8 Deluxe,ENEMY_IN
Bob-omb,Mario Party 6,ENEMY_IN
Bob-omb,Mario & Luigi: Brothership,ENEMY_IN
Bob-omb,Super Mario Galaxy,ENEMY_IN
