Title,Year,Console
"WarioWare, Inc.: Mega Microgame$!",2003,Game Boy Advance
WarioWare: Twisted!,2005,Game Boy Advance
WarioWare: Touched!,2005,Nintendo DS
Game & Wario,2014,Wii
Super Smash Bros. for Wii U,2014,Wii
Super Smash Bros. for Nintendo 3DS,2014,Nintendo 3DS
WarioWare Gold,2018,Nintendo 3DS
Super Smash Bros. Ultimate,2018,Nintendo Switch
WarioWare: Get It Together!,2021,Nintendo Switch
Tetris 99,2021,Nintendo Switch
WarioWare: Move It!,2023,Nintendo Switch
WarioWare: Twisted!,2004,Nintendo DS
WarioWare: Twisted!,2004,Game Boy Advance
WarioWare: Smooth Moves,2007,Wii
Super Smash Bros. Brawl,2008,Wii
WarioWare: D.I.Y. Showcase,2010,Wii
Game & Wario,2013,Wii U
Super Smash Bros. for Wii U,2014,Wii U
Rhythm Heaven Megamix,2015,Nintendo 3DS
Wario World,2003,Nintendo GameCube
"WarioWare, Inc.: Mega Party Game$!",2003,Nintendo GameCube
WarioWare: Touched!,2004,Nintendo DS
WarioWare: Smooth Moves,2006,Wii
Paper Airplane Chase,2008,Nintendo DSi
WarioWare: D.I.Y.,2009,Nintendo DS
WarioWare: D.I.Y. Showcase,2009,Wii
Mario Kart DS,2005,Nintendo DS
Super Mario Maker,2015,Wii U
Super Mario RPG,2023,Nintendo Switch
Daigassou! Band Brothers P,2015,Nintendo 3DS
Super Mario World 2: Yoshi's Island,1995,SNES
Yoshi's Island: Super Mario Advance 3,2002,Game Boy Advance
Mario Kart: Double Dash!!,2003,Nintendo GameCube
Yoshi Touch & Go,2005,Nintendo DS
Mario Superstar Baseball,2005,Nintendo GameCube
Mario & Luigi: Partners in Time,2005,Nintendo DS
Yoshi's Island DS,2006,Nintendo DS
Mario Kart Arcade GP 2,2007,Triforce Arcade
Mario Kart Wii,2008,Wii
Mario Super Sluggers,2008,Wii
Yoshi's New Island,2014,Nintendo 3DS
Mario Kart 8,2014,Wii U
Nintendo Badge Arcade,2014,Nintendo 3DS
Mario & Luigi: Paper Jam,2015,Nintendo 3DS
Mario Sports Superstars,2017,Nintendo 3DS
Mario Kart 8 Deluxe,2017,Nintendo Switch
Dr. Mario World,2019,"iOS, Android"
Mario Kart Tour,2019,"iOS, Android"
Mario Kart World,2025,Nintendo Switch 2
Mario Kart Tour,2019,iOS / Android
Dr. Mario World,2019,iOS / Android
Mario Golf,1999,Nintendo 64
Mario Golf,1999,Game Boy Color
Mario Tennis,2000,Nintendo 64
Mario Tennis,2001,Game Boy Color
Super Smash Bros. Melee,2001,Nintendo GameCube
Super Mario Advance 3 (remake),2002,Game Boy Advance
Mario Tennis Open,2012,Nintendo 3DS
Mario Kart Arcade GP DX,2015,Arcade
Super Mario Maker ( version 1.40 ),2016,Wii U
Diddy Kong Racing,1997,Nintendo 64
Mario Artist: Paint Studio,1999,Nintendo 64DD
Super Smash Bros. Ultimate,2019,Nintendo Switch
Donkey Kong Country,1994,SNES
Donkey Kong Land,1995,Game Boy
Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES
Donkey Kong Land 2,1996,Game Boy
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,SNES
Donkey Kong Land III,1997,Game Boy
Donkey Kong 64,1999,Nintendo 64
Donkey Kong Country (remake),2000,Game Boy Color
Donkey Kong Country (remake),2003,Game Boy Advance
Donkey Kong Country 2 (remake),2004,Game Boy Advance
Mario Power Tennis,2004,GameCube
DK: King of Swing,2005,Game Boy Advance
Super Mario Strikers,2005,GameCube
Donkey Kong Country 3 (remake),2005,Game Boy Advance
Mario Strikers Charged,2007,Wii
Donkey Kong Barrel Blast,2007,Wii
DK: Jungle Climber,2007,Nintendo DS
Yume Kōjō: Doki Doki Panic,1987,Family Computer Disk System
Super Mario Bros. 2,1988,NES
Mario's Egg Catch,1990,Super Mario Bros. Watch
Super Mario Bros. & Friends: When I Grow Up,1991,DOS
Super Mario All-Stars,1993,SNES
Wario's Woods,1994,NES/SNES
Super Mario All-Stars + Super Mario World,1994,SNES
Super Mario RPG: Legend of the Seven Stars,1996,SNES
Super Mario Advance,2001,Game Boy Advance
Mario Golf: Toadstool Tour,2003,Nintendo GameCube
Mario & Luigi: Superstar Saga,2003,Game Boy Advance
Mario Golf: Advance Tour,2004,Game Boy Advance
Yakuman DS,2005,Nintendo DS
Mario Party 7,2005,Nintendo GameCube
Mario Hoops 3-on-3,2006,Nintendo DS
Mario Party 8,2007,Wii
Itadaki Street DS,2007,Nintendo DS
Mario Kart Arcade GP 2,2008,Triforce /Arcade
Mario Party Fushigi no Korokoro Catcher,2008,Arcade
Captain Rainbow,2008,Wii
Mario & Sonic at the Olympic Winter Games,2009,Wii Nintendo DS
Super Mario All-Stars Limited Edition,2010,Wii
Mario Sports Mix,2010,Wii
Mario & Sonic at the London 2012 Olympic Games,2011,Wii
Fortune Street,2011,Wii
Mario Party 9,2012,Wii
Paper Mario: Sticker Star,2012,Nintendo 3DS
Mario & Sonic at the Sochi 2014 Olympic Winter Games,2013,Wii U
Mario Party: Island Tour,2013,Nintendo 3DS
NES Remix 2,2014,Wii U
Mario Golf: World Tour,2014,Nintendo 3DS
Ultimate NES Remix,2014,Nintendo 3DS
Mario & Sonic at the Rio 2016 Olympic Games,2016,Nintendo 3DS
Mario Party Challenge World,2016,Arcade
Minecraft: Wii U Edition,2016,Wii U
Mario & Sonic at the Rio 2016 Olympic Games,2016,Wii U
Paper Mario: Color Splash,2016,Wii U
Minecraft: Nintendo Switch Edition,2017,Nintendo Switch
Mario & Luigi: Superstar Saga + Bowser's Minions,2017,Nintendo 3DS
Mario Party: The Top 100,2017,Nintendo 3DS
Minecraft: New Nintendo 3DS Edition,2018,New Nintendo 3DS
Minecraft: Bedrock Edition,2018,Nintendo Switch
Mario Tennis Aces (version 2.0.0),2018,Nintendo Switch
Super Mario Party,2018,Nintendo Switch
Super Mario Maker 2 (version 3.0.0),2020,Nintendo Switch
Paper Mario: The Origami King,2020,Nintendo Switch
Mario Golf: Super Rush,2021,Nintendo Switch
Mario Party Superstars,2021,Nintendo Switch
Mario Strikers: Battle League (version 1.3.0),2022,Nintendo Switch
Nintendo World Championships: NES Edition,2024,Nintendo Switch
Super Mario Party Jamboree,2024,Nintendo Switch
Mario & Luigi: Brothership,2024,Nintendo Switch
Mario & Sonic at the Olympic Games,2007,Wii
Mario & Sonic at the Olympic Games,2008,Nintendo DS
Mario & Sonic at the Olympic Winter Games,2009,"Wii, Nintendo DS"
Mario & Sonic at the London 2012 Olympic Games,2012,Nintendo 3DS
Mario & Sonic at the Rio 2016 Olympic Games Arcade Edition,2016,Arcade
Mario & Sonic at the Olympic Games Tokyo 2020,2019,Nintendo Switch
Super Mario Bros.: The Lost Levels,1986,Family Computer Disk System
Super Mario Bros. Deluxe,1999,Game Boy Color
Game & Watch: Super Mario Bros.,2020,Game & Watch
Super Mario Bros.,1985,NES
VS. Super Mario Bros.,1986,Arcade
Super Mario Bros.: The Lost Levels,1986,Famicom Disk System
Super Mario Bros. Special,1986,"NEC PC-88, X1"
All Night Nippon: Super Mario Bros.,1986,Famicom Disk System
Super Mario Bros.,1986,Game & Watch
I am a teacher: Super Mario Sweater,1986,Famicom Disk System
Super Mario Bros. 3,1988,NES
Super Mario Bros.,1989,Nelsonic Game Watch
Super Mario World,1990,SNES
Super Mario Bros. 3,1990,Nelsonic Game Watch
